Total_runs	Proportion_of_Starting_failure	Proportion_failure_after_draws
325	0.21846153846153846	0.06461538461538462
326	0.21779141104294478	0.06441717791411043
327	0.22018348623853212	0.0672782874617737
328	0.21951219512195122	0.06707317073170732
329	0.2188449848024316	0.0668693009118541
330	0.22121212121212122	0.06666666666666667
331	0.22054380664652568	0.06646525679758308
332	0.22289156626506024	0.06626506024096386
333	0.22522522522522523	0.06606606606606606
334	0.2275449101796407	0.0658682634730539
335	0.22686567164179106	0.06567164179104477
336	0.2261904761904762	0.06547619047619048
337	0.22551928783382788	0.06528189910979229
338	0.22485207100591717	0.0650887573964497
339	0.22713864306784662	0.06489675516224189
340	0.22647058823529412	0.06470588235294118
341	0.22580645161290322	0.06451612903225806
342	0.22514619883040934	0.06432748538011696
343	0.22448979591836735	0.0641399416909621
344	0.2238372093023256	0.06395348837209303
345	0.22608695652173913	0.06666666666666667
346	0.2254335260115607	0.06647398843930635
347	0.22478386167146974	0.06628242074927954
348	0.22701149425287356	0.06609195402298851
349	0.22922636103151864	0.06876790830945559
350	0.22857142857142856	0.06857142857142857
351	0.22792022792022792	0.06837606837606838
352	0.22727272727272727	0.06818181818181818
353	0.22662889518413598	0.0679886685552408
354	0.22598870056497175	0.06779661016949153
355	0.22535211267605634	0.0676056338028169
356	0.22752808988764045	0.0702247191011236
357	0.226890756302521	0.0700280112044818
358	0.22625698324022347	0.06983240223463687
359	0.22562674094707522	0.06963788300835655
360	0.22777777777777777	0.06944444444444445
361	0.22714681440443213	0.06925207756232687
362	0.2292817679558011	0.0718232044198895
363	0.22865013774104684	0.07162534435261708
364	0.22802197802197802	0.07142857142857142
365	0.23013698630136986	0.07397260273972603
366	0.22950819672131148	0.07377049180327869
367	0.23160762942779292	0.07629427792915532
368	0.23369565217391305	0.07608695652173914
369	0.23306233062330622	0.07588075880758807
370	0.23513513513513515	0.07837837837837838
371	0.23450134770889489	0.07816711590296496
372	0.23655913978494625	0.07795698924731183
373	0.2359249329758713	0.0777479892761394
374	0.23529411764705882	0.07754010695187166
375	0.23466666666666666	0.07733333333333334
376	0.23404255319148937	0.07712765957446809
377	0.23342175066312998	0.07692307692307693
378	0.23544973544973544	0.07936507936507936
379	0.23482849604221637	0.079155672823219
380	0.23684210526315788	0.07894736842105263
381	0.23622047244094488	0.07874015748031496
382	0.2356020942408377	0.07853403141361257
383	0.2349869451697128	0.0783289817232376
384	0.234375	0.078125
385	0.23636363636363636	0.07792207792207792
386	0.23834196891191708	0.07772020725388601
387	0.23772609819121446	0.07751937984496124
388	0.23711340206185566	0.07731958762886598
389	0.2365038560411311	0.07712082262210797
390	0.2358974358974359	0.07692307692307693
391	0.23529411764705882	0.07672634271099744
392	0.2372448979591837	0.07653061224489796
393	0.2366412213740458	0.07633587786259542
394	0.23604060913705585	0.07614213197969544
395	0.2379746835443038	0.0759493670886076
396	0.23737373737373738	0.07575757575757576
397	0.2367758186397985	0.07556675062972293
398	0.23869346733668342	0.07537688442211055
399	0.23809523809523808	0.07518796992481203
400	0.2375	0.075
401	0.23690773067331672	0.07481296758104738
402	0.236318407960199	0.07462686567164178
403	0.23573200992555832	0.07444168734491315
404	0.2376237623762376	0.07425742574257425
405	0.23703703703703705	0.07407407407407407
406	0.23645320197044334	0.07389162561576355
407	0.23832923832923833	0.07371007371007371
408	0.23774509803921567	0.07352941176470588
409	0.2371638141809291	0.07334963325183375
410	0.23658536585365852	0.07317073170731707
411	0.2384428223844282	0.07542579075425791
412	0.24029126213592233	0.07766990291262135
413	0.24213075060532688	0.0774818401937046
414	0.24154589371980675	0.07729468599033816
415	0.2433734939759036	0.07710843373493977
416	0.24519230769230768	0.07932692307692307
417	0.24700239808153476	0.07913669064748201
418	0.24641148325358853	0.07894736842105263
419	0.24821002386634844	0.081145584725537
420	0.24761904761904763	0.08095238095238096
421	0.24703087885985747	0.08076009501187649
422	0.24881516587677724	0.08056872037914692
423	0.24822695035460993	0.08037825059101655
424	0.25	0.08254716981132075
425	0.24941176470588236	0.08235294117647059
426	0.24882629107981222	0.08215962441314555
427	0.24824355971896955	0.08196721311475409
428	0.24766355140186916	0.08177570093457943
429	0.24708624708624707	0.08158508158508158
430	0.24883720930232558	0.08139534883720931
431	0.2505800464037123	0.08120649651972157
432	0.25	0.08101851851851852
433	0.24942263279445728	0.08083140877598152
434	0.2488479262672811	0.08064516129032258
435	0.2482758620689655	0.08045977011494253
436	0.24770642201834864	0.08027522935779817
437	0.2471395881006865	0.08009153318077804
